Date,Adj Close,Close,High,Low,Open,Volume
2/6/2023,33.90000153,33.90000153,34.20999908,32.90000153,33.52999878,33594900
2/7/2023,34.90000153,34.90000153,35.06000137,33.40999985,33.65999985,59374000
2/8/2023,36.83000183,36.83000183,37.58000183,34.5,37.43000031,109597800
2/9/2023,35.88999939,35.88999939,37.36000061,35.65000153,36.88999939,44068500
3/1/2023,32.99000168,32.99000168,33.58000183,32.88999939,33.43000031,14404700
3/2/2023,33.68999863,33.68999863,33.79999924,32.22999954,32.54000092,17967400
3/3/2023,34.56999969,34.56999969,34.59000015,33.79999924,34,14990400
3/6/2023,33.88000107,33.88000107,35.11000061,33.84999847,34.58499908,18903000
3/7/2023,34.13999939,34.13999939,35,33.59999847,33.84999847,25538400
3/8/2023,34.00999832,34.00999832,34.63000107,33.52000046,34.00999832,16174300
3/9/2023,32.31999969,32.31999969,34.52000046,32.27999878,34.40999985,27629700
4/3/2023,31.45999908,31.45999908,31.75499916,31.16699982,31.5,23529100
4/4/2023,31.38999939,31.38999939,32.13000107,31.28499985,31.94000053,15146900
4/5/2023,31.12000084,31.12000084,31.23500061,30.46999931,30.95000076,17243300
4/6/2023,31.18000031,31.18000031,31.48999977,30.5,30.93000031,14486900
5/1/2023,32.74000168,32.74000168,33,31.76000023,32,49867100
5/2/2023,36.52000046,36.52000046,36.625,34.22999954,35.02000046,102993500
5/3/2023,37.84000015,37.84000015,38.34999847,36.34999847,36.75,68580800
5/4/2023,37.49000168,37.49000168,37.79999924,36.68500137,37.47999954,44819400
5/5/2023,37.75,37.75,37.95000076,36.86999893,37.47999954,24676200
5/8/2023,38.83000183,38.83000183,38.93000031,37.47999954,37.81999969,30992100
5/9/2023,38.18999863,38.18999863,38.58000183,37.90499878,38.49000168,19387000
6/1/2023,38.47999954,38.47999954,38.5,37.26499939,37.5,17115300
6/2/2023,39.72999954,39.72999954,39.88999939,39,39,21212000
6/5/2023,40.41999817,40.41999817,40.79000092,39.5,39.5,24218600
6/6/2023,40.25,40.25,40.72999954,39.93000031,40.24900055,14570100
6/7/2023,38.99000168,38.99000168,40.25,38.61000061,40.24000168,23653900
6/8/2023,40.25999832,40.25999832,40.63000107,39.04000092,39.18000031,20301800
6/9/2023,40.99000168,40.99000168,41,40.02000046,40.04999924,21932700
7/3/2023,43.09000015,43.09000015,43.40000153,42.58000183,43.16999817,7578100
7/5/2023,43.65999985,43.65999985,43.88000107,42.88999939,42.88999939,15730400
7/6/2023,42.11000061,42.11000061,43,41.86999893,42.99000168,17983600
7/7/2023,42.90999985,42.90999985,43.11999893,41.94100189,42.06999969,14931300
8/1/2023,46.65000153,46.65000153,49.02999878,46.00999832,48.66999817,82097500
8/2/2023,46.95999908,46.95999908,47.70500183,45.66999817,46.05500031,36303800
8/3/2023,45.90999985,45.90999985,47.84999847,45.79000092,46.22000122,25248800
8/4/2023,45.20000076,45.20000076,46.38000107,45.02000046,46,25639600
8/7/2023,44.95000076,44.95000076,45.52999878,44.38000107,45.00999832,22122500
8/8/2023,45.15999985,45.15999985,45.24000168,44.08499908,44.5,14742200
8/9/2023,44.11000061,44.11000061,45.45999908,43.84000015,45.25,20113000
9/1/2023,47.04000092,47.04000092,47.70000076,46.83000183,47.50999832,14607000
9/5/2023,46.54999924,46.54999924,47.13999939,46.29999924,46.86999893,16461700
9/6/2023,45.90000153,45.90000153,46.84999847,45.61000061,46.34000015,14262700
9/7/2023,46.27000046,46.27000046,46.68000031,45.25,45.5,14972200
9/8/2023,47.24000168,47.24000168,47.25,46.27000046,46.34000015,15956900
1/2/2024,58.38000107,58.38000107,60.90999985,57.93000031,60.72999954,41978600
1/3/2024,58.25,58.25,58.89500046,57.33000183,57.47999954,31800600
1/4/2024,57.79999924,57.79999924,58.98500061,57.72999954,58.25,20370700
1/5/2024,57.58000183,57.58000183,58.50999832,57.22000122,58.11000061,17875200
1/8/2024,59.00999832,59.00999832,59.15999985,57.84999847,58.09000015,21213000
1/9/2024,60.29999924,60.29999924,60.54000092,58.45000076,58.5,22319900
2/1/2024,66.73000336,66.73000336,66.84999847,65.58999634,66.12000275,12504200
2/2/2024,68.06999969,68.06999969,68.25,66.51000214,66.98000336,18642700
2/5/2024,68.98999786,68.98999786,69.98999786,67.85500336,68.23999786,26079500
2/6/2024,70.47000122,70.47000122,70.68000031,68.44000244,69.05999756,34464000
2/7/2024,70.65000153,70.65000153,71.90000153,67.23999786,67.59500122,43367000
2/8/2024,71.61000061,71.61000061,73.05000305,71.19499969,71.93000031,21618200
2/9/2024,70.91000366,70.91000366,72.04000092,69.69000244,71.43000031,20858700
3/1/2024,81.02999878,81.02999878,81.47000122,79.31999969,79.5,18520800
3/4/2024,81.30000305,81.30000305,82.13999939,80.79000092,81.94000244,15989200
3/5/2024,79.08999634,79.08999634,80.84999847,77.43000031,80.83000183,19761600
3/6/2024,78.63999939,78.63999939,80.98999786,78.52999878,80.16999817,13734700
3/7/2024,79.41000366,79.41000366,80.07499695,78.26000214,79.40000153,13873300
3/8/2024,78.69999695,78.69999695,81.98000336,78.20999908,79.94000244,16409100
4/1/2024,76.40000153,76.40000153,77.77999878,76,77,12201800
4/2/2024,76.98000336,76.98000336,77.33000183,74.97000122,75.66000366,15838800
4/3/2024,76.80999756,76.80999756,78.84999847,76.54000092,76.83999634,19883100
4/4/2024,74.91999817,74.91999817,77.66999817,74.48000336,77.23999786,17191300
4/5/2024,77.16000366,77.16000366,78.39499664,74.91999817,75.33999634,21541300
4/8/2024,75.02999878,75.02999878,76.86000061,73.94999695,76.69999695,22867600
4/9/2024,75.13999939,75.13999939,75.5,73.33000183,74.76999664,13766800
5/1/2024,67.79000092,67.79000092,69.41000366,65.86000061,66.04000092,21266700
5/2/2024,68.56999969,68.56999969,69.03600311,67.625,68.40000153,18229300
5/3/2024,69.23000336,69.23000336,70.33899689,69.02999878,69.84500122,15557700
5/6/2024,71.51000214,71.51000214,73.81999969,70.83200073,71,25001900
5/7/2024,70.43000031,70.43000031,72.63999939,69.80000305,72.63999939,24427300
5/8/2024,66.40000153,66.40000153,67.19999695,63.83499908,64.5,84220000
5/9/2024,67.93000031,67.93000031,68.56999969,66.75,66.80999756,27965500
6/3/2024,63.79000092,63.79000092,64.95999908,62.93500137,64.77999878,14922200
6/4/2024,64.55000305,64.55000305,65.19000244,63.70000076,64.05999756,12689200
6/5/2024,65.81999969,65.81999969,66.27999878,64.20999908,64.94000244,19513500
6/6/2024,68.90000153,68.90000153,69.69000244,67.33000183,67.44999695,25871500
6/7/2024,69.30999756,69.30999756,69.70999908,68.11000061,68.90000153,13932600
7/1/2024,71.09999847,71.09999847,72.58000183,69.40000153,72.19999695,13438700
7/2/2024,70.66999817,70.66999817,71.26000214,68.87999725,71.25,14319000
7/3/2024,71.30000305,71.30000305,72.13999939,70.5,70.66000366,7869800
7/5/2024,71.05999756,71.05999756,71.41799927,70.38500214,70.98999786,6599200
7/8/2024,71.25,71.25,71.77999878,70.75,71.30999756,7231100
7/9/2024,71.31999969,71.31999969,72.27999878,71.12999725,71.40000153,8757900
8/1/2024,61.02000046,61.02000046,65,60.75999832,64.86000061,18967900
8/2/2024,58.99000168,58.99000168,59.58000183,56.86000061,59.38000107,27654600
8/5/2024,58.47999954,58.47999954,58.65000153,54.84000015,55.52999878,32063700
8/6/2024,64.87000275,64.87000275,65.81999969,60.5,62.54999924,53336900
8/7/2024,65.54000092,65.54000092,68.40000153,65.48999786,65.55999756,31493600
8/8/2024,69.01000214,69.01000214,69.16500092,65.94999695,66.52500153,21779100
8/9/2024,68.54000092,68.54000092,69.37999725,67.75,69.13999939,12770300
9/3/2024,71.88999939,71.88999939,73.61000061,71.20999908,72.56999969,13053300
9/4/2024,71.55999756,71.55999756,72.69000244,71.30000305,71.51999664,7995800
9/5/2024,71.25,71.25,72.62000275,70.91999817,71.08000183,8890900
9/6/2024,69.58000183,69.58000183,72.01999664,68.72899628,71.12999725,11449800
9/9/2024,69.80000305,69.80000305,71.19000244,69.63300323,70.94999695,8804600
1/2/2025,63.16999817,63.16999817,63.38999939,61.31000137,62.18999863,25899100
1/3/2025,64.58999634,64.58999634,65.22000122,63.43999863,63.68999863,28553800
1/6/2025,66.30999756,66.30999756,67.34999847,66.04000092,66.97000122,32980700
1/7/2025,66.15000153,66.15000153,68.83999634,65.94999695,68.48999786,35347800
1/8/2025,64.91000366,64.91000366,66.68000031,64.12000275,66.40000153,24523300
2/3/2025,67.29000092,67.29000092,68.84999847,65.1780014,65.30000305,25290000
2/4/2025,69.75,69.75,70.19000244,67.69000244,67.69000244,33786200
2/5/2025,64.48000336,64.48000336,66.75,63.5,66.5,74772959
